傲岸不群	aabq
阿猫阿狗	amag
挨门挨户	amah
按摩按摩	amam
鞍马劳顿	amld
爱莫能助	amnv
爱莫能助	amnz
爱民如子	amrz
挨门逐户	amvh
爱美之心	amvx
傲慢无礼	amwl
奥妙无穷	amwq
爱慕虚荣	amxr
挨门逐户	amzh
爱美之心	amzx
按捺不住	anbv
懊恼不已	anby
按捺不住	anbz
碍难从命	ancm
安排安排	apap
安贫乐道	apld
哀其不幸	aqbx
安全第一	aqdy
鞍前马后	aqmh
安全起见	aqqj
爱钱如命	aqrm
安全系数	aqxs
安全系数	aqxu
安然如故	arrg
安然入眠	arrm
安然入睡	arrs
安然入睡	arru
黯然神伤	arss
黯然失色	arss
傲然挺立	artl
安如泰山	arts
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无事	arws
安然无事	arwu
安然无恙	arwy
黯然销魂	arxh
傲然屹立	aryl
安然自若	arzr
碍手碍脚	asaj
安守本分	asbf
阿塞拜疆	asbj
爱说不说	asbs
安神定魄	asdp
爱斯基摩	asjm
昂首阔步	askb
暗室亏心	askx
安身立命	aslm
阿斯马拉	asml
爱沙尼亚	asny
阿司匹林	aspl
暗送秋波	asqb
傲视群雄	asqx
阿斯塔纳	astn
唉声叹气	astq
昂首挺胸	astx
爱生恶死	asws
昂首望天	aswt
安身之处	aszc
安身之地	aszd
安史之乱	aszl
安身之所	aszs
凹凸不平	atbp
暗通款曲	atkq
按图索骥	atsj
安土重迁	atvq
哀痛欲绝	atyj
凹凸有致	atyv
凹凸有致	atyz
安土重迁	atzq
碍手碍脚	auaj
安守本分	aubf
爱说不说	aubu
安神定魄	audp
昂首阔步	aukb
暗室亏心	aukx
安身立命	aulm
爱沙尼亚	auny
傲视群雄	auqx
唉声叹气	autq
昂首挺胸	autx
安身之地	auvd
安身之处	auvi
安史之乱	auvl
安身之所	auvs
爱生恶死	auws
昂首望天	auwt
安枕而卧	avew
安知非福	avff
安知非祸	avfh
安装目录	avml
暗中摸索	avms
安之若素	avrs
安枕无忧	avwy
安慰安慰	awaw
爱屋及乌	awjw
暗无天日	awtr
爱信不信	axbx
暗箱操作	axcz
按需分配	axfp
爱新觉罗	axjl
暗下决心	axjx
安心乐意	axly
暗香疏影	axsy
暗香疏影	axuy
安享晚年	axwn
爱惜羽毛	axym
爱因斯坦	ayst
安营扎寨	ayvv
安于现状	ayxv
安于现状	ayxz
安营扎寨	ayzz
安枕而卧	azew
安知非福	azff
安知非祸	azfh
爱憎分明	azfm
安装目录	azml
暗中摸索	azms
腌臜泼才	azpc
暗自庆幸	azqx
安之若素	azrs
安枕无忧	azwy
爱咋咋地	azzd
不按常理	bacl
北爱尔兰	bael
不安好心	bahx
不按常理	bail
不卑不亢	bbbk
百病不侵	bbbq
褒贬不一	bbby
百病缠身	bbcs
百步穿杨	bbcy
斑斑点点	bbdd
步步登高	bbdg
并不多见	bbdj
不必多礼	bbdl
百般刁难	bbdn
巴巴多斯	bbds
包办代替	bbdt
不必当真	bbdv
逼不得已	bbdy
不必当真	bbdz
百般奉承	bbfc
百般奉承	bbfi
百般抚慰	bbfw
步步高升	bbgs
步步高升	bbgu
比比划划	bbhh
包办婚姻	bbhy
百病缠身	bbiu
百步穿杨	bbiy
步步紧逼	bbjb
白白净净	bbjj
比比皆是	bbjs
比比皆是	bbju
标本兼治	bbjv
步步惊心	bbjx
标本兼治	bbjz
必不可缺	bbkq
必不可少	bbks
必不可少	bbku
白白浪费	bblf
步步莲花	bblh
冰冰凉凉	bbll
爸爸妈妈	bbmm
别不耐烦	bbnf
白白嫩嫩	bbnn
白白胖胖	bbpp
彪炳千古	bbqg
跛鳖千里	bbql
并不认为	bbrw
并不容易	bbry
彪炳史册	bbsc
勃勃生机	bbsj
步步生莲	bbsl
帮不上忙	bbsm
并不是说	bbss
蹦蹦跳跳	bbtt
彪炳史册	bbuc
勃勃生机	bbuj
步步生莲	bbul
帮不上忙	bbum
并不是说	bbuu
并不知道	bbvd
八拜之交	bbvj
百般折磨	bbvm
不辨真伪	bbvw
不白之冤	bbvy
卑鄙无耻	bbwc
卑鄙无耻	bbwi
被逼无奈	bbwn
并不完全	bbwq
白璧微瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
并不需要	bbxy
并不一定	bbyd
饱饱眼福	bbyf
彬彬有礼	bbyl
兵不厌诈	bbyv
并不意外	bbyw
不必言谢	bbyx
兵不厌诈	bbyz
并不知道	bbzd
八拜之交	bbzj
百般折磨	bbzm
百般阻挠	bbzn
不辨真伪	bbzw
不白之冤	bbzy
不必在意	bbzy
罢黜百家	bcbj
不吵不闹	bcbn
百吃不厌	bcby
把持不住	bcbz
必成大器	bcdq
不辞而别	bceb
不测风云	bcfy
不成方圆	bcfy
百川归海	bcgh
本草纲目	bcgm
百尺竿头	bcgt
不差毫厘	bchl
包藏祸心	bchx
不存芥蒂	bcjd
不成敬意	bcjy
别出机杼	bcjz
病从口入	bckr
不辞劳苦	bclk
百辞莫辩	bcmb
鞭长莫及	bcmj
不成其为	bcqw
必承其重	bcqz
不出所料	bcsl
抱残守缺	bcsq
悲春伤秋	bcsq
不差上下	bcsx
不成体统	bctt
抱残守缺	bcuq
辩才无碍	bcwa
博茨瓦纳	bcwn
不成问题	bcwt
别出心裁	bcxc
报仇雪恨	bcxh
不耻下问	bcxw
饱餐一顿	bcyd
不齿于人	bcyr
抱成一团	bcyt
不出意外	bcyw
不耻最后	bczh
不传之秘	bczm
不得安宁	bdan
不得不服	bdbf
宝刀不老	bdbl
百毒不侵	bdbq
不大不小	bdbx
百读不厌	bdby
不登大雅	bddy
背道而驰	bdec
背道而驰	bdei
拔地而起	bdeq
不得而知	bdev
不得而知	bdez
不得好死	bdhs
白底黑字	bdhz
兵多将广	bdjg
不懂就问	bdjw
遍地开花	bdkh
不大可能	bdkn
北达科他	bdkt
不打诳语	bdky
布达拉宫	bdlg
不得了了	bdll
不达目的	bdmd
表达能力	bdnl
布达佩斯	bdps
不得其法	bdqf
不得其所	bdqs
北斗七星	bdqx
不动如山	bdrs
不动如山	bdru
不得人心	bdrx
冰冻三尺	bdsc
冰冻三尺	bdsi
不动声色	bdss
不得善终	bdsz
拔得头筹	bdtc
不断提高	bdtg
拔得头筹	bdti
不动声色	bdus
不得善终	bduv
不懂装懂	bdvd
宝刀未老	bdwl
拔刀相助	bdxv
北大西洋	bdxy
拔刀相助	bdxz
弊大于利	bdyl
笨得要死	bdys
步调一致	bdyv
不得有误	bdyw
步调一致	bdyz
不懂装懂	bdzd
不打自招	bdzv
不打自招	bdzz
避而不答	bebd
避而不见	bebj
避而不谈	bebt
备而不用	beby
不二法门	befm
不二法则	befz
白俄罗斯	bels
巴尔扎克	bevk
不二之选	bevx
巴尔扎克	bezk
不二之选	bezx
不分彼此	bfbc
百发百中	bfbv
百发百中	bfbz
白发苍苍	bfcc
不负此生	bfcs
不负此生	bfcu
不复存在	bfcz
不复当年	bfdn
百废待兴	bfdx
不法分子	bffz
不分高下	bfgx
八方呼应	bfhy
暴风疾雨	bfjy
白费口舌	bfks
白费口舌	bfku
兵分两路	bfll
白费力气	bflq
不乏其人	bfqr
白发青衫	bfqs
白发青衫	bfqu
不分轻重	bfqv
不分轻重	bfqz
不负韶华	bfsh
不负所托	bfst
悲愤填膺	bfty
不负韶华	bfuh
百分之百	bfvb
不法之徒	bfvt
不负众望	bfvw
百分之一	bfvy
变废为宝	bfwb
变法维新	bfwx
白费心机	bfxj
不分轩轾	bfxv
不法行为	bfxw
不分轩轾	bfxz
并非易事	bfys
并非易事	bfyu
笔锋一转	bfyv
不发一言	bfyy
笔锋一转	bfyz
百分之百	bfzb
不负责任	bfzr
不法之徒	bfzt
不负众望	bfzw
百分之一	bfzy
笔耕不辍	bgbc
半工半读	bgbd
不管不顾	bgbg
笔耕不辍	bgbi
不干不净	bgbj
包工包料	bgbl
不管不问	bgbw
不共戴天	bgdt
半个多月	bgdy
不过尔尔	bgee
不告而取	bgeq
不敢高攀	bggp
不敢苟同	bggt
不甘后人	bghr
不敢或忘	bghw
百感交集	bgjj
不甘寂寞	bgjm
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
半个世纪	bgsj
不甘示弱	bgsr
兵贵神速	bgss
杯弓蛇影	bgsy
不敢擅专	bgsz
博古通今	bgtj
不关痛痒	bgty
半个世纪	bguj
不甘示弱	bgur
兵贵神速	bgus
不敢擅专	bguv
杯弓蛇影	bguy
秉公执法	bgvf
百舸争流	bgvl
半个钟头	bgvt
悲观主义	bgvy
别跟我说	bgws
别跟我说	bgwu
报告文学	bgwx
不敢妄言	bgwy
不感兴趣	bgxq
半个小时	bgxs
半个小时	bgxu
不敢相信	bgxx
不顾一切	bgyq
不够意思	bgys
不苟言笑	bgyx
不敢造次	bgzc
秉公执法	bgzf
百舸争流	bgzl
不攻自破	bgzp
闭关自守	bgzs
半个钟头	bgzt
闭关自守	bgzu
悲观主义	bgzy
罢黜百家	bibj
不吵不闹	bibn
把持不住	bibv
百吃不厌	biby
必成大器	bidq
不成方圆	bify
百川归海	bigh
百尺竿头	bigt
不差毫厘	bihl
别出机杼	bijv
不成敬意	bijy
鞭长莫及	bimj
必承其重	biqv
不成其为	biqw
不出所料	bisl
不成体统	bitt
悲春伤秋	biuq
不差上下	biux
不传之秘	bivm
不成问题	biwt
别出心裁	bixc
报仇雪恨	bixh
不耻下问	bixw
不齿于人	biyr
抱成一团	biyt
不出意外	biyw
不耻最后	bizh
包教包会	bjbh
半斤八两	bjbl
不见不散	bjbs
不疾不徐	bjbx
不骄不躁	bjbz
边际成本	bjcb
饱经沧桑	bjcs
不计代价	bjdj
不记得了	bjdl
不减当年	bjdn
八九点钟	bjdv
北京大学	bjdx
八九点钟	bjdz
贝加尔湖	bjeh
比肩而立	bjel
不教而诛	bjev
比较而言	bjey
不教而诛	bjez
不胫而走	bjez
不解风情	bjfq
饱经风霜	bjfs
不进反退	bjft
饱经风霜	bjfu
八九个人	bjgr
白驹过隙	bjgx
八九个月	bjgy
不计后果	bjhg
保驾护航	bjhh
别具慧眼	bjhy
边际成本	bjib
比肩接踵	bjjv
比肩接踵	bjjz
白驹空谷	bjkg
背井离乡	bjlx
保加利亚	bjly
兵精粮足	bjlz
不讲面子	bjmz
不拘泥于	bjny
不近情理	bjql
并驾齐驱	bjqq
不计其数	bjqs
不计其数	bjqu
不计前嫌	bjqx
不仅如此	bjrc
不绝如缕	bjrl
不近人情	bjrq
半截入土	bjrt
不尽人意	bjry
悲剧色彩	bjsc
不见森林	bjsl
八九十岁	bjss
不假思索	bjss
巴基斯坦	bjst
不见天日	bjtr
八九十岁	bjus
不羁之才	bjvc
必经之地	bjvd
败军之将	bjvj
必经之路	bjvl
百家争鸣	bjvm
不经之谈	bjvt
不解之缘	bjvy
不讲武德	bjwd
保家卫国	bjwg
不尽完美	bjwm
不拘小节	bjxj
不尽相同	bjxt
败局已定	bjyd
八九月份	bjyf
别具一格	bjyg
不久以后	bjyh
不讲义气	bjyq
不羁之才	bjzc
必经之地	bjzd
败军之将	bjzj
必经之路	bjzl
百家争鸣	bjzm
不进则退	bjzt
不经之谈	bjzt
并肩作战	bjzv
不解之缘	bjzy
并肩作战	bjzz
不可不防	bkbf
闭口不谈	bkbt
不可不知	bkbv
百看不厌	bkby
不可不知	bkbz
鼻孔朝天	bkct
不可多得	bkdd
不可动摇	bkdy
不可遏制	bkev
不可遏制	bkez
不可否认	bkfr
不可改变	bkgb
不可估量	bkgl
不可告人	bkgr
不可或缺	bkhq
不堪回首	bkhs
不堪回首	bkhu
鼻孔朝天	bkit
不可兼得	bkjd
不可开交	bkkj
不可抗力	bkkl
不可理喻	bkly
百口莫辩	bkmb
不可磨灭	bkmm
不可名状	bkmv
不可名状	bkmz
不可能吧	bknb
不可能的	bknd
不可逆转	bknv
不可逆转	bknz
不可偏废	bkpf
不可侵犯	bkqf
不可企及	bkqj
不可缺少	bkqs
不可缺少	bkqu
不可全信	bkqx
不堪入耳	bkre
不堪入目	bkrm
碧空如洗	bkrx
宾客如云	bkry
别开生面	bksm
不堪设想	bksx
不可思议	bksy
不可推卸	bktx
别开生面	bkum
不堪设想	bkux
不可知论	bkvl
不可捉摸	bkvm
不可终日	bkvr
不可置信	bkvx
不可外扬	bkwy
不可懈怠	bkxd
不可小觑	bkxq
不可小视	bkxs
不可小视	bkxu
不可想象	bkxx
不可言传	bkyc
不可以的	bkyd
不快也光	bkyg
不可言传	bkyi
不堪一击	bkyj
不可以吗	bkym
不可言状	bkyv
不可逾越	bkyy
不可言状	bkyz
不可造次	bkzc
不堪造就	bkzj
不可知论	bkzl
不可捉摸	bkzm
不可终日	bkzr
不可再生	bkzs
不可再生	bkzu
不可置信	bkzx
不理不睬	blbc
波澜不惊	blbj
不伦不类	blbl
不离不弃	blbq
不冷不热	blbr
奔流不息	blbx
表里不一	blby
百炼成钢	blcg
鬓乱钗横	blch
半路出家	blcj
不吝赐教	blcj
兵临城下	blcx
波罗的海	bldh
薄利多销	bldx
不劳而获	bleh
比邻而居	blej
别浪费了	blfl
不露锋芒	blfm
拨乱反正	blfv
不良反应	blfy
拨乱反正	blfz
不留痕迹	blhj
百炼成钢	blig
鬓乱钗横	blih
半路出家	blij
兵临城下	blix
兵来将挡	bljd
濒临绝境	bljj
不良记录	bljl
步履艰难	bljn
本来就是	bljs
本来就是	blju
暴力抗法	blkf
不落窠臼	blkj
筚路蓝缕	blll
不了了之	bllv
不了了之	bllz
本来面目	blmm
摆龙门阵	blmv
摆龙门阵	blmz
步履蹒跚	blps
步履蹒跚	blpu
布里奇顿	blqd
波澜起伏	blqf
不留情面	blqm
壁立千仞	blqr
博览群书	blqs
博览群书	blqu
表里如一	blry
布鲁塞尔	blse
不露声色	blss
巴勒斯坦	blst
拨乱视听	blst
壁垒森严	blsy
白里透红	blth
百里挑一	blty
不露声色	blus
拨乱视听	blut
不吝指教	blvj
波澜壮阔	blvk
逼良为娼	blwc
逼良为娼	blwi
步履维艰	blwj
白露为霜	blws
白露为霜	blwu
包罗万象	blwx
别来无恙	blwy
不良习惯	blxg
半老徐娘	blxn
玻璃纤维	blxw
不留余地	blyd
白龙鱼服	blyf
不利因素	blys
表里一致	blyv
本来以为	blyw
表里一致	blyz
不良资产	blzc
不良资产	blzi
不吝指教	blzj
波澜壮阔	blzk
暴戾恣睢	blzs
不明不白	bmbb
闭门不出	bmbc
闭门不出	bmbi
不蔓不枝	bmbv
半梦半醒	bmbx
不蔓不枝	bmbz
摆明车马	bmcm
病魔缠身	bmcs
不谋而合	bmeh
不默而生	bmes
不默而生	bmeu
笔墨官司	bmgs
摆明车马	bmim
病魔缠身	bmiu
八面来风	bmlf
班门弄斧	bmnf
不瞒你说	bmns
不瞒你说	bmnu
不谋其政	bmqv
不谋其政	bmqz
闭门思过	bmsg
表面上看	bmsk
不明事理	bmsl
闭目塞听	bmst
表面上看	bmuk
不明事理	bmul
不毛之地	bmvd
百忙之中	bmvv
不明真相	bmvx
笔墨纸砚	bmvy
八面威风	bmwf
表面文章	bmwv
白马王子	bmwz
表面文章	bmwz
宝马香车	bmxc
宝马香车	bmxi
表面现象	bmxx
不名一钱	bmyq
不名一文	bmyw
不毛之地	bmzd
不明真相	bmzx
笔墨纸砚	bmzy
不鸣则已	bmzy
百忙之中	bmzz
不年不节	bnbj
不男不女	bnbn
百年不遇	bnby
百鸟朝凤	bncf
不怒而威	bnew
百年好合	bnhh
百鸟朝凤	bnif
不念旧恶	bnje
不难看出	bnkc
不难看出	bnki
百年难遇	bnny
搬弄是非	bnsf
百年树人	bnsr
搬弄是非	bnuf
百年树人	bnur
笨鸟先飞	bnxf
不难想象	bnxx
不能自拔	bnzb
不怒自威	bnzw
不能自已	bnzy
不破不立	bpbl
不怕不怕	bpbp
不偏不倚	bpby
剥皮抽筋	bpcj
剥皮抽筋	bpij
杯盘狼藉	bplj
宾朋满座	bpmz
鞭辟入里	bprl
抱朴守拙	bpsz
抱朴守拙	bpuv
白跑一趟	bpyt
不怕一万	bpyw
不平则鸣	bpzm
不欺暗室	bqas
不欺暗室	bqau
不清不楚	bqbc
不清不楚	bqbi
不屈不挠	bqbn
不确定性	bqdx
不期而至	bqev
不期而遇	bqey
不期而至	bqez
避其锋芒	bqfm
薄情寡义	bqgy
不求回报	bqhb
步其后尘	bqhc
步其后尘	bqhi
鼻青脸肿	bqlv
鼻青脸肿	bqlz
兵强马壮	bqmv
兵强马壮	bqmz
屏气凝神	bqns
屏气凝神	bqnu
避其锐气	bqrq
不切实际	bqsj
版权所有	bqsy
不切实际	bquj
比起这个	bqvg
不情之请	bqvq
霸权主义	bqvy
不求有功	bqyg
冰清玉洁	bqyj
比起这个	bqzg
不请自来	bqzl
不情之请	bqzq
霸权主义	bqzy
不起作用	bqzy
勃然变色	brbs
不仁不义	brby
不然的话	brdh
勃然大怒	brdn
哺乳动物	brdw
不容分说	brfs
不容分说	brfu
病入膏肓	brgh
病入骨髓	brgs
步人后尘	brhc
步人后尘	brhi
薄弱环节	brhj
不容忽视	brhs
不容忽视	brhu
不入虎穴	brhx
不容乐观	brlg
傍人门户	brmh
不如人意	brry
不辱使命	brsm
不辱使命	brum
步入正轨	brvg
不容置喙	brvh
不忍直视	brvu
不容置疑	brvy
兵戎相见	brxj
不容小觑	brxq
不容有失	brys
不容有失	bryu
不忍卒读	brzd
步入正轨	brzg
不容置喙	brzh
白日做梦	brzm
不忍直视	brzs
不容置疑	brzy
变生不测	bsbc
半死不活	bsbh
百思不解	bsbj
百试百灵	bsbl
把屎把尿	bsbn
半身不遂	bsbs
半生不熟	bsbs
不三不四	bsbs
不声不响	bsbx
不死不休	bsbx
比上不足	bsbz
杯水车薪	bscx
不识大体	bsdt
不说二话	bseh
不守妇道	bsfd
饱受非议	bsfy
班师回朝	bshc
不识好歹	bshd
不思悔改	bshg
白山黑水	bshs
备受煎熬	bsja
不胜酒力	bsjl
不思进取	bsjq
避实击虚	bsjx
白色恐怖	bskb
宝山空回	bskh
百事可乐	bskl
巴塞罗那	bsln
逼上梁山	bsls
不甚明了	bsml
背山面水	bsms
八十年代	bsnd
波斯尼亚	bsny
比试切磋	bsqc
不胜其烦	bsqf
白手起家	bsqj
冰释前嫌	bsqx
不胜荣幸	bsrx
不失时机	bssj
不识时务	bssw
不识抬举	bstj
不速之客	bsvk
榜上无名	bswm
不是问题	bswt
必输无疑	bswy
必死无疑	bswy
博士学位	bsxw
不说也罢	bsyb
不是一个	bsyg
冰山一角	bsyj
榜上有名	bsym
败事有余	bsyy
背水一战	bsyz
不速之客	bszk
备受瞩目	bszm
饱食终日	bszr
不时之需	bszx
不太安全	btaq
半推半就	btbj
不吐不快	btbk
笨头笨脑	btbn
拜托拜托	btbt
不痛不痒	btby
不同程度	btcd
八抬大轿	btdj
抱头大哭	btdk
白头到老	btdl
不同的人	btdr
不停的说	btds
不停的说	btdu
半途而废	btef
不太方便	btfb
不退反进	btfj
不同凡俗	btfs
不同凡响	btfx
别太过分	btgf
不太高兴	btgx
不太好吧	bthb
不太好看	bthk
冰糖葫芦	bthl
白天黑夜	bthy
不同程度	btid
不太吉利	btjl
拔腿就跑	btjp
不太看好	btkh
不太可能	btkn
抱头乱串	btlc
抱头乱串	btli
不太了解	btlj
巴吞鲁日	btlr
遍体鳞伤	btls
遍体鳞伤	btlu
不太理想	btlx
不太明白	btmb
悲天悯人	btmr
不太明显	btmx
不太满意	btmy
不太清楚	btqc
不太清楚	btqi
不通情理	btql
抱团取暖	btqn
暴跳如雷	btrl
不通人情	btrq
不太认识	btrs
不太认同	btrt
不太认识	btru
抱头鼠窜	btsc
不太舒服	btsf
遍体生寒	btsh
不太熟悉	btsx
抱头痛哭	bttk
暴殄天物	bttw
抱头鼠窜	btuc
不太舒服	btuf
遍体生寒	btuh
不太熟悉	btux
不同之处	btvi
不同政见	btvj
别太晚了	btwl
不同寻常	btxc
冰天雪地	btxd
不太习惯	btxg
不太喜欢	btxh
不同寻常	btxi
白头偕老	btxl
波涛汹涌	btxy
不提也罢	btyb
悲痛欲绝	btyj
不太一样	btyy
不太赞成	btzc
不同之处	btzc
不太赞成	btzi
不同政见	btzj
变生不测	bubc
百试百灵	bubl
把屎把尿	bubn
半身不遂	bubs
半生不熟	bubu
不声不响	bubx
比上不足	bubz
不识大体	budt
不说二话	bueh
不守妇道	bufd
饱受非议	bufy
不识好歹	buhd
班师回朝	buhi
白山黑水	buhu
杯水车薪	buix
备受煎熬	buja
不胜酒力	bujl
避实击虚	bujx
宝山空回	bukh
百事可乐	bukl
逼上梁山	bulu
不甚明了	buml
背山面水	bumu
八十年代	bund
比试切磋	buqc
不胜其烦	buqf
白手起家	buqj
冰释前嫌	buqx
不胜荣幸	burx
不识抬举	butj
不失时机	buuj
不识时务	buuw
备受瞩目	buvm
饱食终日	buvr
不时之需	buvx
榜上无名	buwm
不是问题	buwt
必输无疑	buwy
博士学位	buxw
不说也罢	buyb
不是一个	buyg
冰山一角	buyj
榜上有名	buym
背水一战	buyv
败事有余	buyy
包治百病	bvbb
百战不殆	bvbd
百折不回	bvbh
不知不觉	bvbj
不折不扣	bvbk
保质保量	bvbl
百折不挠	bvbn
百战百胜	bvbu
半遮半掩	bvby
不知道了	bvdl
不战而胜	bveu
不知凡几	bvfj
不知高低	bvgd
本职工作	bvgz
不知好歹	bvhd
不知悔改	bvhg
不着痕迹	bvhj
屏住呼吸	bvhx
白纸黑字	bvhz
不支持了	bvil
宾主尽欢	bvjh
不知就里	bvjl
避重就轻	bvjq
不知进退	bvjt
不追既往	bvjw
不置可否	bvkf
不知廉耻	bvli
不斩来使	bvlu
彼之蜜糖	bvmt
彼之砒霜	bvpu
不知其二	bvqe
百转千回	bvqh
不知轻重	bvqv
不知去向	bvqx
宾至如归	bvrg
不知肉味	bvrw
不知所措	bvsc
不知死活	bvsh
不知所终	bvsv
不知所谓	bvsw
不知所云	bvsy
不知所踪	bvsz
不知深浅	bvuq
不知生死	bvus
必争之地	bvvd
不正之风	bvvf
伯仲之间	bvvj
不治之症	bvvv
不知为何	bvwh
败者为寇	bvwk
不知羞耻	bvxi
不至于吧	bvyb
不止一次	bvyc
不止一个	bvyg
秉烛夜话	bvyh
闭着眼睛	bvyj
报之以李	bvyl
不值一提	bvyt
不值一哂	bvyu
白纸一张	bvyv
不值一文	bvyw
秉烛夜游	bvyy
敝帚自珍	bvzv
不温不火	bwbh
不闻不问	bwbw
别无长物	bwcw
不枉此行	bwcx
不忘初心	bwcx
不无道理	bwdl
博闻多识	bwds
博闻多识	bwdu
别无二致	bwev
别无二致	bwez
不无关系	bwgx
别无长物	bwiw
不忘初心	bwix
百无禁忌	bwjj
保外就医	bwjy
不问可知	bwkv
不问可知	bwkz
不畏强暴	bwqb
博闻强记	bwqj
不畏权势	bwqs
不畏权势	bwqu
博闻强识	bwqv
博闻强识	bwqz
不为人知	bwrv
不为人知	bwrz
不为所动	bwsd
别无所求	bwsq
别无他法	bwtf
霸王条款	bwtk
别无他念	bwtn
别无他求	bwtq
别无他途	bwtt
别无他物	bwtw
比武招亲	bwvq
不务正业	bwvy
不为瓦全	bwwq
别无选择	bwxz
比武招亲	bwzq
不务正业	bwzy
白雪皑皑	bxaa
并行不悖	bxbb
不修边幅	bxbf
半新不旧	bxbj
本相毕露	bxbl
补血补气	bxbq
本乡本土	bxbt
半信不信	bxbx
半信半疑	bxby
冰雪聪明	bxcm
笔下超生	bxcs
不虚此行	bxcx
博学多才	bxdc
彪形大汉	bxdh
不想多说	bxds
不想多说	bxdu
博学多闻	bxdw
碧血丹心	bxdx
败兴而归	bxeg
不宣而战	bxev
不宣而战	bxez
不惜工本	bxgb
兵行诡道	bxgd
八仙过海	bxgh
保险公司	bxgs
白雪公主	bxgv
白雪公主	bxgz
笔下超生	bxiu
抱薪救火	bxjh
悲喜交集	bxjj
本小利大	bxld
本小利微	bxlw
标新立异	bxly
本性难改	bxng
不懈努力	bxnl
屏息凝神	bxns
屏息凝神	bxnu
本性难移	bxny
保险起见	bxqj
败絮其中	bxqv
背信弃义	bxqy
败絮其中	bxqz
不省人事	bxrs
不省人事	bxru
笔下生花	bxsh
不徇私情	bxsq
不相上下	bxsx
笔下生花	bxuh
不相上下	bxux
不屑置辩	bxvb
败下阵来	bxvl
饱学之士	bxvu
不祥之兆	bxvv
宝相庄严	bxvy
冰消瓦解	bxwj
不相为谋	bxwm
不学无术	bxws
不学无术	bxwu
不屑一顾	bxyg
不幸言中	bxyv
比下有余	bxyy
不幸言中	bxyz
不屑置辩	bxzb
败下阵来	bxzl
饱学之士	bxzs
不肖子孙	bxzs
宝相庄严	bxzy
不祥之兆	bxzz
百依百从	bybc
不依不饶	bybr
暴饮暴食	bybs
暴饮暴食	bybu
不言不语	byby
白云苍狗	bycg
便宜从事	bycs
便宜从事	bycu
必要的话	bydh
毕业典礼	bydl
不用多说	byds
别有洞天	bydt
不用多说	bydu
不要当真	bydv
不用担心	bydx
八音迭奏	bydz
不要当真	bydz
不翼而飞	byef
不约而同	byet
不言而喻	byey
不一而足	byez
不由分说	byfs
不由分说	byfu
