# codex symbol data (auto-generated from typst/codex)
# format: typst_name<TAB>char
# typst_name is the full dotted path (e.g. arrow.r.double, chess.king.white)
abacus	🧮
diamond.orange.small	🔸
diamond.dot	💠
die	🎲
dino.pod	🦕
dino.rex	🦖
disc.cd	💿️
disc.dvd	📀
disc.mini	💽
discoball	🪩
diving	🤿
dodo	🦤
dog	🐕️
dog.face	🐶
dog.guide	🦮
dog.poodle	🐩
dollar	💲
dolphin	🐬
donkey	🫏
donut	🍩
door	🚪
dove.peace	🕊️
dragon	🐉
dragon.face	🐲
dress	👗
dress.kimono	👘
dress.sari	🥻
drop	💧
drops	💦
drum	🥁
drum.big	🪘
duck	🦆
dumpling	🥟
eagle	🦅
ear	👂️
ear.aid	🦻
egg	🥚
eighteen.not	🔞
elephant	🐘
elevator	🛗
elf	🧝
email	📧
excl	❗️
excl.white	❕️
excl.double	‼️
excl.quest	⁉️
explosion	💥
extinguisher	🧯
eye	👁️
eyes	👀
face.grin	😀
face.angry	😠
face.angry.red	😡
face.anguish	😧
face.astonish	😲
face.bandage	🤕
face.beam	😁
face.blank	😶
face.clown	🤡
face.cold	🥶
face.concern	😦
face.cool	😎
face.cover	🤭
face.cowboy	🤠
face.cry	😭
face.devil.smile	😈
face.devil.frown	👿
face.diagonal	🫤
face.disguise	🥸
face.distorted	🫪
face.distress	😫
face.dizzy	😵
face.dotted	🫥
face.down	😞
face.down.sweat	😓
face.drool	🤤
face.explode	🤯
face.eyeroll	🙄
face.friendly	☺️
face.fear	😨
face.fear.sweat	😰
face.fever	🤒
face.flush	😳
face.frown	☹️
face.frown.slight	🙁
face.frust	😣
face.goofy	🤪
face.halo	😇
face.happy	😊
face.heart	😍
face.hearts	🥰
face.heat	🥵
face.hug	🤗
face.inv	🙃
face.joy	😂
face.kiss	😗
face.kiss.smile	😙
face.kiss.heart	😘
face.kiss.blush	😚
face.lick	😋
face.lie	🤥
face.mask	😷
face.meh	😒
face.melt	🫠
face.money	🤑
face.monocle	🧐
face.nausea	🤢
face.nerd	🤓
face.neutral	😐️
face.open	😃
face.party	🥳
face.peek	🫣
face.plead	🥺
face.relief	😌
face.rofl	🤣
face.sad	😔
face.salute	🫡
face.shaking	🫨
face.shock	😱
face.shush	🤫
face.skeptic	🤨
face.sleep	😴
face.sleepy	😪
face.smile	😄
face.smile.slight	🙂
face.smile.sweat	😅
face.smile.tear	🥲
face.smirk	😏
face.sneeze	🤧
face.speak.not	🫢
face.squint	😆
face.stars	🤩
face.straight	😑
face.suffer	😖
face.surprise	😯
face.symbols	🤬
face.tear	😢
face.tear.relief	😥
face.tear.withheld	🥹
face.teeth	😬
face.think	🤔
face.tired	🫩
face.tongue	😛
face.tongue.squint	😝
face.tongue.wink	😜
face.triumph	😤
face.unhappy	😕
face.vomit	🤮
face.weary	😩
face.wink	😉
face.woozy	🥴
face.worry	😟
face.wow	😮
face.yawn	🥱
face.zip	🤐
factory	🏭️
fairy	🧚
faith.christ	✝️
faith.dharma	☸️
faith.khanda	🪯
faith.islam	☪️
faith.judaism	✡️
faith.menorah	🕎
faith.om	🕉️
faith.orthodox	☦️
faith.peace	☮️
faith.star.dot	🔯
faith.worship	🛐
faith.yinyang	☯️
falafel	🧆
family	👪️
fax	📠
feather	🪶
feeding.breast	🤱
fencing	🤺
ferriswheel	🎡
fightcloud	🫯
filebox	🗃️
filedividers	🗂️
film	🎞️
finger.r	👉️
finger.l	👈️
finger.t	👆️
finger.t.alt	☝️
finger.b	👇️
finger.front	🫵
finger.m	🖕
fingerprint	🫆
fingers.cross	🤞
fingers.pinch	🤌
fingers.snap	🫰
fire	🔥
firecracker	🧨
fireengine	🚒
fireworks	🎆
fish	🐟️
fish.tropical	🐠
fishing	🎣
fist.front	👊
fist.r	🤜
fist.l	🤛
fist.raised	✊️
flag.black	🏴
flag.white	🏳️
flag.goal	🏁
flag.golf	⛳️
flag.red	🚩
flags.jp.crossed	🎌
flamingo	🦩
flashlight	🔦
flatbread	🫓
fleur	⚜️
floppy	💾
flower.hibiscus	🌺
flower.hyacinth	🪻
flower.lotus	🪷
flower.pink	🌸
flower.rose	🌹
flower.sun	🌻
flower.tulip	🌷
flower.white	💮
flower.wilted	🥀
flower.yellow	🌼
flute	🪈
fly	🪰
fog	🌫️
folder	📁
folder.open	📂
fondue	🫕
foot	🦶
football	⚽️
football.am	🏈
forex	💱
fountain	⛲️
fox	🦊
free	🆓
fries	🍟
frisbee	🥏
frog.face	🐸
fuelpump	⛽️
garlic	🧄
gear	⚙️
gem	💎
genie	🧞
ghost	👻
ginger	🫚
giraffe	🦒
girl	👧
glass.clink	🥂
glass.milk	🥛
glass.pour	🫗
glass.tumbler	🥃
glasses	👓️
glasses.sun	🕶️
globe.am	🌎️
globe.as.au	🌏️
globe.eu.af	🌍️
globe.meridian	🌐
gloves	🧤
goal	🥅
goat	🐐
goggles	🥽
golfing	🏌️
goose	🪿
gorilla	🦍
grapes	🍇
guard.man	💂
guitar	🎸
gymnastics	🤸
haircut	💇
hairpick	🪮
hammer	🔨
hammer.pick	⚒️
hammer.wrench	🛠️
hamsa	🪬
hamster.face	🐹
hand.raised	✋️
hand.raised.alt	🤚
hand.r	🫱
hand.l	🫲
hand.t	🫴
hand.b	🫳
hand.ok	👌
hand.call	🤙
hand.love	🤟
hand.part	🖖
hand.peace	✌️
hand.pinch	🤏
hand.pushing.l	🫷
hand.pushing.r	🫸
hand.rock	🤘
hand.splay	🖐️
hand.wave	👋
hand.write	✍️
handbag	👜
handball	🤾
handfan	🪭
handholding	🧑‍🤝‍🧑
handholding.man.man	👬
handholding.woman.man	👫
handholding.woman.woman	👭
hands.folded	🙏
hands.palms	🤲
hands.clap	👏
hands.heart	🫶
hands.open	👐
hands.raised	🙌
hands.shake	🤝
harp	🪉
hash	#️
hat.ribbon	👒
hat.top	🎩
headphone	🎧️
heart	❤️
heart.arrow	💘
heart.beat	💓
heart.black	🖤
heart.blue	💙
heart.box	💟
heart.broken	💔
heart.brown	🤎
heart.double	💕
heart.excl	❣️
heart.gray	🩶
heart.green	💚
heart.grow	💗
heart.lightblue	🩵
heart.orange	🧡
heart.pink	🩷
heart.purple	💜
heart.real	🫀
heart.revolve	💞
heart.ribbon	💝
heart.spark	💖
heart.white	🤍
heart.yellow	💛
hedgehog	🦔
helicopter	🚁
helix	🧬
helmet.cross	⛑️
helmet.military	🪖
hippo	🦛
hockey	🏑
hole	🕳️
honey	🍯
hongbao	🧧
hook	🪝
horn.postal	📯
horse	🐎
horse.carousel	🎠
horse.face	🐴
horse.race	🏇
hospital	🏥
hotdog	🌭
hotel	🏨
hotel.love	🏩
hotspring	♨️
hourglass	⌛️
hourglass.flow	⏳️
house	🏠️
house.derelict	🏚️
house.garden	🏡
house.multiple	🏘️
hundred	💯
hut	🛖
ice	🧊
icecream	🍨
icecream.shaved	🍧
icecream.soft	🍦
icehockey	🏒
id	🆔
info	ℹ️
izakaya	🏮
jar	🫙
jellyfish	🪼
jeans	👖
jigsaw	🧩
joystick	🕹️
juggling	🤹
juice	🧃
kaaba	🕋
kadomatsu	🎍
kangaroo	🦘
gachi	🈷️
go	🈴
hi	㊙️
ka	🉑
kachi	🈹
kara	🈳
kon	🈲
man	👨
man.box	🚹️
man.crown	🤴
man.guapimao	👲
man.levitate	🕴️
man.old	👴
man.pregnant	🫃
man.turban	👳
man.tuxedo	🤵
muryo	🈚️
shin	🈸
shuku	㊗️
toku	🉐
yo	🈺
yubi	🈯️
yuryo	🈶
koko	🈁
sa	🈂️
kebab	🥙
key	🔑
key.old	🗝️
keyboard	⌨️
kiss	💏
kissmark	💋
kite	🪁
kiwi	🥝
knife	🔪
knife.dagger	🗡️
knot	🪢
koala	🐨
koinobori	🎏
label	🏷️
lacrosse	🥍
ladder	🪜
lamp.diya	🪔
landslide	🛘
laptop	💻️
a	🅰️
ab	🆎
b	🅱️
cl	🆑
o	🅾️
leaf.clover.three	☘️
leaf.clover.four	🍀
leaf.fall	🍂
leaf.herb	🌿
leaf.maple	🍁
leaf.wind	🍃
leftluggage	🛅
leg	🦵
leg.mech	🦿
lemon	🍋
leopard	🐆
letter.love	💌
liberty	🗽
lightbulb	💡
lightning	⚡️
lion	🦁
lipstick	💄
litter	🚮
litter.not	🚯
lizard	🦎
llama	🦙
lobster	🦞
lock	🔒️
lock.key	🔐
lock.open	🔓️
lock.pen	🔏
lollipop	🍭
lotion	🧴
luggage	🧳
lungs	🫁
mage	🧙
magnet	🧲
magnify.r	🔎
magnify.l	🔍️
mahjong.dragon.red	🀄️
mail	✉️
mail.arrow	📩
mailbox.closed.empty	📪️
mailbox.closed.full	📫️
mailbox.open.empty	📭️
mailbox.open.full	📬️
mammoth	🦣
mango	🥭
map.world	🗺️
map.jp	🗾
maracas	🪇
martialarts	🥋
masks	🎭️
mate	🧉
matryoshka	🪆
meat	🥩
meat.bone	🍖
medal.first	🥇
medal.second	🥈
medal.third	🥉
medal.sports	🏅
medal.military	🎖️
megaphone	📢
megaphone.simple	📣
melon	🍈
merperson	🧜
metro	Ⓜ️
microbe	🦠
microphone	🎤
microphone.studio	🎙️
microscope	🔬
milkyway	🌌
mirror	🪞
mixer	🎛️
money.bag	💰️
money.dollar	💵
money.euro	💶
money.pound	💷
money.yen	💴
money.wings	💸
monkey	🐒
monkey.face	🐵
monkey.hear.not	🙉
monkey.see.not	🙈
monkey.speak.not	🙊
moon.crescent	🌙
moon.full	🌕️
moon.full.face	🌝
moon.new	🌑
moon.new.face	🌚
moon.wane.one	🌖
moon.wane.two	🌗
moon.wane.three.face	🌜️
moon.wane.three	🌘
moon.wax.one	🌒
moon.wax.two	🌓
moon.wax.two.face	🌛
moon.wax.three	🌔
moose	🫎
mortarboard	🎓️
mosque	🕌
mosquito	🦟
motorcycle	🏍️
motorway	🛣️
mountain	⛰️
mountain.fuji	🗻
mountain.snow	🏔️
mountain.sunrise	🌄
mouse	🐁
mouse.face	🐭
mousetrap	🪤
mouth	👄
mouth.bite	🫦
moyai	🗿
museum	🏛️
mushroom	🍄
musicalscore	🎼
nails.polish	💅
namebadge	📛
nazar	🧿
necktie	👔
needle	🪡
nest.empty	🪹
nest.eggs	🪺
new	🆕
newspaper	📰
newspaper.rolled	🗞️
ng	🆖
ningyo	🎎
ninja	🥷
noentry	⛔️
nose	👃
notebook	📓
notebook.deco	📔
notepad	🗒️
notes	🎵
notes.triple	🎶
numbers	🔢
octopus	🐙
office	🏢
oil	🛢️
ok	🆗
olive	🫒
oni	👹
onion	🧅
orangutan	🦧
orca	🫍
otter	🦦
owl	🦉
ox	🐂
oyster	🦪
package	📦️
paella	🥘
page	📄
page.curl	📃
page.pencil	📝
pager	📟️
pages.tabs	📑
painting	🖼️
palette	🎨
pancakes	🥞
panda	🐼
parachute	🪂
park	🏞️
parking	🅿️
parrot	🦜
partalteration	〽️
party	🎉
peach	🍑
peacock	🦚
peanuts	🥜
peapod	🫛
pear	🍐
pedestrian	🚶
pedestrian.not	🚷
pen.ball	🖊️
pen.fountain	🖋️
pencil	✏️
penguin	🐧
pepper	🫑
pepper.hot	🌶️
person	🧑
person.angry	🙎
person.beard	🧔
person.blonde	👱
person.bow	🙇
person.crown	🫅
person.deaf	🧏
person.facepalm	🤦
person.frown	🙍
person.hijab	🧕
person.kneel	🧎
person.lotus	🧘
person.massage	💆
person.no	🙅
person.ok	🙆
person.old	🧓
person.pregnant	🫄
person.raise	🙋
person.sassy	💁
person.shrug	🤷
person.stand	🧍
person.steam	🧖
petri	🧫
phone	📱
phone.arrow	📲
phone.classic	☎️
phone.not	📵
phone.off	📴
phone.receiver	📞
phone.signal	📶
phone.vibrate	📳
piano	🎹
pick	⛏️
pie	🥧
pig	🐖
pig.face	🐷
pig.nose	🐽
pill	💊
pin	📌
pin.round	📍
pinata	🪅
pineapple	🍍
pingpong	🏓
pistol	🔫
pizza	🍕
placard	🪧
planet	🪐
plant	🪴
plaster	🩹
plate.cutlery	🍽️
playback.down	⏬️
playback.eject	⏏️
playback.forward	⏩️
playback.pause	⏸️
playback.record	⏺️
playback.repeat	🔁
playback.repeat.once	🔂
playback.repeat.v	🔃
playback.restart	⏮️
playback.rewind	⏪️
playback.shuffle	🔀
playback.skip	⏭️
playback.stop	⏹️
playback.toggle	⏯️
playback.up	⏫️
playingcard.flower	🎴
playingcard.joker	🃏
plunger	🪠
policeofficer	👮
poo	💩
popcorn	🍿
post.eu	🏤
post.jp	🏣
postbox	📮
potato	🥔
potato.sweet	🍠
pouch	👝
powerplug	🔌
present	🎁
pretzel	🥨
printer	🖨️
prints.foot	👣
prints.paw	🐾
prohibited	🚫
projector	📽️
pumpkin.lantern	🎃
purse	👛
quest	❓️
quest.white	❔️
rabbit	🐇
rabbit.face	🐰
raccoon	🦝
radio	📻️
radioactive	☢️
railway	🛤️
rainbow	🌈
ram	🐏
rat	🐀
razor	🪒
receipt	🧾
recycling	♻️
reg	®️
restroom	🚻
rhino	🦏
ribbon	🎀
ribbon.remind	🎗️
rice	🍚
rice.cracker	🍘
rice.ear	🌾
rice.onigiri	🍙
ring	💍
ringbuoy	🛟
robot	🤖
rock	🪨
rocket	🚀
rollercoaster	🎢
rosette	🏵️
rugby	🏉
ruler	📏
ruler.triangle	📐
running	🏃
safetypin	🧷
safetyvest	🦺
sake	🍶
salad	🥗
salt	🧂
sandwich	🥪
santa.man	🎅
santa.woman	🤶
satdish	📡
satellite	🛰️
saw	🪚
saxophone	🎷
scales	⚖️
scarf	🧣
school	🏫
scissors	✂️
scooter	🛴
scooter.motor	🛵
scorpion	🦂
screwdriver	🪛
scroll	📜
seal	🦭
seat	💺
seedling	🌱
shark	🦈
sheep	🐑
shell.spiral	🐚
shield	🛡️
ship	🚢
ship.cruise	🛳️
ship.ferry	⛴️
shirt.sports	🎽
shirt.t	👕
shoe	👞
shoe.ballet	🩰
shoe.flat	🥿
shoe.heel	👠
shoe.hike	🥾
shoe.ice	⛸️
shoe.roller	🛼
shoe.sandal.heel	👡
shoe.ski	🎿
shoe.sneaker	👟
shoe.tall	👢
shoe.thong	🩴
shopping	🛍️
shorts	🩳
shoshinsha	🔰
shovel	🪏
shower	🚿
shrimp	🦐
shrimp.fried	🍤
shrine	⛩️
sign.crossing	🚸
sign.stop	🛑
silhouette	👤
silhouette.double	👥
silhouette.hug	🫂
silhouette.speak	🗣️
siren	🚨
skateboard	🛹
skewer.dango	🍡
skewer.oden	🍢
skiing	⛷️
skull	💀
skull.bones	☠️
skunk	🦨
sled	🛷
slide	🛝
slider	🎚️
sloth	🦥
slots	🎰
snail	🐌
snake	🐍
snowboarding	🏂️
snowflake	❄️
snowman	⛄️
snowman.snow	☃️
soap	🧼
socks	🧦
softball	🥎
sos	🆘
soup	🍲
spaghetti	🍝
sparkle.box	❇️
sparkler	🎇
sparkles	✨️
speaker	🔈️
speaker.not	🔇
speaker.wave	🔉
speaker.waves	🔊
spider	🕷️
spiderweb	🕸️
spinach	🥬
splatter	🫟
sponge	🧽
spoon	🥄
square.black	⬛️
square.black.tiny	▪️
square.black.small	◾️
square.black.medium	◼️
square.white	⬜️
square.white.tiny	▫️
square.white.small	◽️
square.white.medium	◻️
square.blue	🟦
square.brown	🟫
square.green	🟩
square.orange	🟧
square.purple	🟪
square.red	🟥
square.yellow	🟨
squid	🦑
stadium	🏟️
star	⭐️
star.arc	💫
star.box	✴️
star.glow	🌟
star.shoot	🌠
stethoscope	🩺
store.big	🏬
store.small	🏪
strawberry	🍓
suit.club	♣️
suit.diamond	♦️
suit.heart	♥️
suit.spade	♠️
sun	☀️
sun.cloud	🌤️
sun.face	🌞
sunrise	🌅
superhero	🦸
supervillain	🦹
surfing	🏄️
sushi	🍣
swan	🦢
swimming	🏊️
swimsuit	🩱
swords	⚔️
symbols	🔣
synagogue	🕍
syringe	💉
taco	🌮
takeout	🥡
tamale	🫔
tanabata	🎋
tangerine	🍊
tap	🚰
tap.not	🚱
taxi	🚕
taxi.front	🚖
teacup	🍵
teapot	🫖
teddy	🧸
telescope	🔭
temple	🛕
ten	🔟
tengu	👺
tennis	🎾
tent	⛺️
testtube	🧪
thermometer	🌡️
thread	🧵
thumb.up	👍️
thumb.down	👎️
ticket.event	🎟️
ticket.travel	🎫
tiger	🐅
tiger.face	🐯
tm	™️
toilet	🚽
toiletpaper	🧻
tomato	🍅
tombstone	🪦
tongue	👅
toolbox	🧰
tooth	🦷
toothbrush	🪥
tornado	🌪️
tower.tokyo	🗼
trackball	🖲️
tractor	🚜
trafficlight.v	🚦
trafficlight.h	🚥
train	🚆
train.car	🚃
train.light	🚈
train.metro	🚇️
train.mono	🚝
train.mountain	🚞
train.speed	🚄
train.speed.bullet	🚅
train.steam	🚂
train.stop	🚉
train.suspend	🚟
train.tram	🚊
train.tram.car	🚋
transgender	⚧️
tray.inbox	📥️
tray.mail	📨
tray.outbox	📤️
treasure	🪎
tree.deciduous	🌳
tree.evergreen	🌲
tree.leafless	🪾
tree.palm	🌴
tree.xmas	🎄
triangle.r	▶️
triangle.l	◀️
triangle.t	🔼
triangle.b	🔽
triangle.t.red	🔺
triangle.b.red	🔻
trident	🔱
troll	🧌
trombone	🪊
trophy	🏆️
truck	🚚
truck.trailer	🚛
trumpet	🎺
tsukimi	🎑
turkey	🦃
turtle	🐢
tv	📺️
ufo	🛸
umbrella.open	☂️
umbrella.closed	🌂
umbrella.rain	☔️
umbrella.sun	⛱️
unicorn	🦄
unknown	🦳
up	🆙
urn	⚱️
vampire	🧛
violin	🎻
volcano	🌋
volleyball	🏐
vs	🆚
waffle	🧇
wand	🪄
warning	⚠️
watch	⌚️
watch.stop	⏱️
watermelon	🍉
waterpolo	🤽
wave	🌊
wc	🚾
weightlifting	🏋️
whale	🐋
whale.spout	🐳
wheel	🛞
wheelchair	🦽
wheelchair.box	♿️
wheelchair.motor	🦼
wind	🌬️
windchime	🎐
window	🪟
wine	🍷
wing	🪽
wireless	🛜
wolf	🐺
woman	👩
woman.box	🚺️
woman.crown	👸
woman.old	👵
woman.pregnant	🤰
wood	🪵
worm	🪱
wrench	🔧
wrestling	🤼
xray	🩻
yarn	🧶
yoyo	🪀
zebra	🦓
zodiac.aquarius	♒️
zodiac.aries	♈️
zodiac.cancer	♋️
zodiac.capri	♑️
zodiac.gemini	♊️
zodiac.leo	♌️
zodiac.libra	♎️
zodiac.ophi	⛎️
zodiac.pisces	♓️
zodiac.sagit	♐️
zodiac.scorpio	♏️
zodiac.taurus	♉️
zodiac.virgo	♍️
zombie	🧟
zzz	💤
